user,language,anger,bitter,fear,joy,peace,power,sad,surprise,tender,tension,transcendence,excerpt,emotion,quadrant,preference,pref_enc,familiarity,fam_enc,understanding,und_enc,mus_train,mus_train_encod,emotions,emotions_enc,mus_soph,mus_soph_enc
42,spanish,1,1,1,5,4,4,1,5,3,1,4,joy_1,joy,q1_a_pos_v_pos,5,1,1,0,1,0,28,1,32,0,73,0
43,spanish,2,2,2,4,4,4,2,3,4,2,3,joy_1,joy,q1_a_pos_v_pos,3, ,2,0,3, ,18,0,29,0,59,0
44,spanish,1,1,1,5,2,4,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,1,0,5,1,5,1,35,1,41,1,97,1
45,spanish,1,1,1,5,1,5,1,4,2,1,4,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,5,1,11,0,35,1,59,0
46,spanish,1,1,1,5,2,5,1,5,2,1,4,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,32,1,34,0,89,1
47,spanish,1,1,1,4,2,2,2,4,4,2,2,joy_1,joy,q1_a_pos_v_pos,4,1,2,0,1,0,25,0,30,0,78,0
48,spanish,2,2,2,4,2,3,2,4,3,2,3,joy_1,joy,q1_a_pos_v_pos,3, ,5,1,4,1,30,1,36,1,72,0
49,spanish,1,1,1,5,1,4,1,3,1,1,1,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,5,1,36,1,39,1,95,1
50,spanish,3,5,1,5,1,4,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,4,1,45,1,42,1,108,1
51,spanish,3,1,1,5,3,5,1,3,4,2,3,joy_1,joy,q1_a_pos_v_pos,5,1,5,1,3, ,16,0,38,1,74,0
52,spanish,1,1,1,5,1,4,1,2,1,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,22,0,36,1,99,1
53,spanish,1,1,1,1,3,1,1,1,1,3,1,joy_1,joy,q1_a_pos_v_pos,1,0,1,0,5,1,14,0,31,0,51,0
54,spanish,3,3,3,3,3,3,3,3,3,3,3,joy_1,joy,q1_a_pos_v_pos,3, ,3, ,3, ,9,0,40,1,65,0
55,spanish,1,1,1,5,1,5,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,4,1,5,1,5,1,22,0,37,1,78,0
56,spanish,1,1,1,4,2,4,1,1,1,1,1,joy_1,joy,q1_a_pos_v_pos,2,0,1,0,5,1,18,0,38,1,83,1
